ID,Name,Category,Price,Tone_Description,Skill_Level,Key_Features
WND-I-17,B&S Challenger I Trumpet,Wind - Instrument,1599,Exceptional core tone and accurate slotting,Intermediate to Professional,"German-crafted, traditional American design elements"
WND-I-18,Keilwerth SX90R Tenor Saxophone,Wind - Instrument,6899,"Huge, roaring, and bold modern sound",Professional,"Extra-large bore, rolled tone holes, adjustable palm keys"
WND-I-19,Antigua Winds TS3100 Tenor Sax,Wind - Instrument,1299,"Warm, consistent, and easy to control",Beginner to Intermediate,"Robust construction, smooth ergonomic key layout"
WND-I-20,Yamaha YSL-354 Student Trombone,Wind - Instrument,1399,"Rich, solid, and incredibly reliable",Beginner,"Laser-precise slide tolerances, bulletproof durability"
WND-A-01,Vandoren Traditional Alto Reeds,Wind - Accessory,34.99,Crisp response and pure tone,All Levels,"Industry standard, excellent in all registers, strength 2.5"
WND-A-02,Yamaha Synthetic Valve Oil,Wind - Accessory,8.99,N/A - Utility,All Levels,"Premium synthetic, protects against corrosion, fast action"
WND-A-03,BG Standard Fabric Ligature,Wind - Accessory,39.99,"Round, warm, and focused tone",Intermediate to Professional,"Fabric construction, specialized rubber plate, prevents warping"
WND-A-04,Denis Wick DW5504 Straight Mute,Wind - Accessory,54.99,Brilliant intonation and piercing projection,Intermediate to Professional,"Spun-aluminum, crisp attack, essential for orchestra"
WND-A-05,Hercules TravLite Flute Stand,Wind - Accessory,29.99,N/A - Utility,All Levels,"Compact, folds directly into the instrument's footjoint"
WND-A-06,Neotech Classic Sax Strap,Wind - Accessory,24.99,N/A - Utility,All Levels,"Tailored neoprene, significantly reduces neck fatigue"
WND-A-07,Rico Premium Cork Grease,Wind - Accessory,4.99,N/A - Utility,All Levels,"Specially formulated, prevents cork drying and cracking"
WND-A-08,Protec PRO PAC Sax Case,Wind - Accessory,189.99,N/A - Utility,All Levels,"Water-resistant exterior, molded velvet interior, rugged"
WND-A-09,K&M 14300 Saxophone Stand,Wind - Accessory,49.99,N/A - Utility,All Levels,"Fiberglass-reinforced base, non-marring rubber supports"
WND-A-10,Rovner Dark Clarinet Ligature,Wind - Accessory,27.99,"Full, centered, and dark tone",All Levels,"Flexible synthetic material, eliminates harshness"
WND-A-11,D'Addario Reserve Classic Clarinet Reeds,Wind - Accessory,36.99,"Warm, dark, and highly focused",Professional,"Thick-blank, digitally vamped for consistency"
WND-A-12,Claude Lakey Alto Sax Mouthpiece,Wind - Accessory,89.99,"Incredible volume, bright, and cutting",Professional,"High-baffle, hard rubber, perfect for lead alto players"
WND-A-13,Otto Link Super Tone Master Tenor,Wind - Accessory,249.99,"Husky, warm, and broad vintage jazz tone",Professional,"24k gold-plated metal, standard for straight-ahead jazz"
WND-A-14,Jo-Ral Bubble Trumpet Mute,Wind - Accessory,84.99,"Warmer, richer buzz with a classic smoky sound",Professional,Spun-aluminum with a distinct copper bubble end
WND-A-15,Al Cass Fast Valve Oil,Wind - Accessory,7.99,N/A - Utility,All Levels,"Petroleum-based, weather-resistant, incredibly fast action"
WND-A-16,HW Products Pad-Saver for Alto Sax,Wind - Accessory,16.99,N/A - Utility,All Levels,"Highly absorbent microfiber, prevents sticky pads"
WND-A-17,D'Addario Woodwinds Mouthpiece Patch,Wind - Accessory,9.99,N/A - Utility,All Levels,"Protects mouthpiece from teeth marks, reduces vibration"
WND-A-18,Korg TM-60 Tuner/Metronome,Wind - Accessory,34.99,N/A - Utility,All Levels,"Combined tuner and metronome, large backlit display"
WND-A-19,Bari Synthetic Saxophone Reed,Wind - Accessory,14.99,"Bright, edgy, and unaffected by weather",All Levels,"Synthetic composite, highly durable, immune to warping"
WND-A-20,Jones Medium Oboe Reed,Wind - Accessory,18.99,Balanced and easy sound production,Beginner to Intermediate,"Professionally hand-finished, American-style scrape"
PRC-I-01,Ludwig LM402 Supraphonic Snare,Percussion - Instrument,599,"Bright, cutting attack with full-bodied resonance",Professional,"14x6.5 seamless aluminum shell, classic rock sound"
PRC-I-02,Pearl Export EXX 5-Piece Kit,Percussion - Instrument,849,"Resonant, punchy, and balanced",Beginner,"Poplar and mahogany shells, includes gig-ready hardware"
PRC-I-03,"Zildjian A Custom 16"" Crash",Percussion - Instrument,289.95,"Fast, glassy, and modern cut",Intermediate to Professional,"B20 cast bronze, brilliant finish"
PRC-I-04,"Meinl Byzance 20"" Traditional Ride",Percussion - Instrument,429,"Warm, dark wash with articulate stick definition",Professional,"Hand-hammered B20 bronze, crafted in Turkey"
PRC-I-05,LP Classic Model Congas,Percussion - Instrument,649,"Warm, traditional Afro-Cuban tones with deep bass",Professional,"Environmentally friendly Siam Oak, natural rawhide heads"
PRC-I-06,Gretsch Catalina Club 4-Piece,Percussion - Instrument,899,"Warm, vintage thud ideal for jazz and hip-hop",Intermediate to Professional,"7-ply mahogany shells, punchy 18-inch bass drum"
PRC-I-07,"Sabian AAX 14"" Stage Hi-Hats",Percussion - Instrument,419,Crisp chick sound and clear stick articulation,Professional,"Brightly polished, dynamic focus technology"
PRC-I-08,Roland SPD-SX Pro Sampling Pad,Percussion - Instrument,1199,Pristine electronic samples and massive triggering,Professional,"Internal memory, customizable LED triggers, built-in sampling"
PRC-I-09,Tama Imperialstar 5-Piece,Percussion - Instrument,799,"Warm, balanced tone with medium attack",Beginner,"100% poplar shells, includes hardware and cymbals"
PRC-I-10,DW Collector's Series Snare,Percussion - Instrument,899,Incredible warmth and massive tuning range,Professional,"Custom-crafted maple shell, premium studio performance"
PRC-I-11,Yamaha Stage Custom Birch Kit,Percussion - Instrument,749,"Cutting, EQ-friendly tone with enhanced high frequencies",Intermediate to Professional,"100% birch shells, industry standard for recording"
PRC-I-12,Mapex Armory Series 6-Piece Kit,Percussion - Instrument,1049,Maximum tonal versatility and modern punch,Intermediate to Professional,"Hybrid birch/maple shells, SONIClear bearing edges"
PRC-I-13,Sonor AQ2 Bop 4-Piece Kit,Percussion - Instrument,1049,Premium acoustic pop and jazz projection,Intermediate to Professional,"Compact maple shells, highly portable, 18-inch kick"
PRC-I-14,"Paiste 2002 22"" Ride Cymbal",Percussion - Instrument,480,"Bright, energetic, highly articulate ping",Professional,"Legendary B8 bronze, massive soaring bell sound"
PRC-I-15,Istanbul Agop 30th Anniversary Crash,Percussion - Instrument,530,"Dark, trashy wash with complex overtones",Professional,"Ultra-thin, completely hand-hammered Turkish craftsmanship"
PRC-I-16,Meinl Percussion Snarecraft Cajon,Percussion - Instrument,139,"Crisp, articulate slap with deep, booming bass",All Levels,"Birch construction, dual internal snare wires"
PRC-I-17,LP Tito Puente Timbales,Percussion - Instrument,599,"Bright, cutting cascara sound and penetrating rimshots",Professional,"Classic stainless steel, standard for Latin jazz"
PRC-I-18,"Remo Rototom Set (6"", 8"", 10"")",Percussion - Instrument,299,"Sharp, melodic, and highly defined attack",Intermediate to Professional,"Shell-less tunable frame, rapid pitch change"
PRC-I-19,Alesis Nitro Mesh Electronic Kit,Percussion - Instrument,379,Realistic acoustic feel with quiet electronic response,Beginner,"Fully tunable mesh heads, perfect practice tool"
PRC-I-20,"Zildjian K Sweet 15"" Hi-Hats",Percussion - Instrument,589.95,"Dark, fat chick with a lush, modern wash",Professional,"Oversized B20 bronze, unlathed bell, extensive hammering"
PRC-A-01,Vic Firth American Classic 5A,Percussion - Accessory,12.99,Perfect balance of attack and cymbal response,All Levels,"Premium hickory, deeply back-cut tear drop tip"
PRC-A-02,Remo Ambassador Coated Head,Percussion - Accessory,19.99,"Warm, open tone with bright attack",All Levels,"Single-ply, industry standard snare batter head"
PRC-A-03,"Evans RealFeel 12"" Practice Pad",Percussion - Accessory,34.99,N/A - Utility,All Levels,"Natural gum rubber, realistic stick rebound, quiet practice"
PRC-A-04,RTOM Moongel Damper Pads,Percussion - Accessory,8.99,"Eliminates overtones, focuses drum tone instantly",All Levels,"Self-adhesive, non-toxic, washable gel pads"
PRC-A-05,DW 5000 Series Kick Pedal,Percussion - Accessory,249.99,N/A - Utility,Professional,"Accelerator cam drive, unmatched speed and durability"
PRC-A-06,Promark Hot Rods Bundle Sticks,Percussion - Accessory,24.99,"Softer, brush-like wash with moderate stick attack",All Levels,"Premium birch dowels, perfect for low-volume unplugged gigs"
PRC-A-07,Gibraltar 9608 Heavy Duty Throne,Percussion - Accessory,149.99,N/A - Utility,All Levels,"Motorcycle-style padded seat, exceptional stability"
PRC-A-08,"Zildjian 22"" Pro Cymbal Bag",Percussion - Accessory,89.99,N/A - Utility,All Levels,"Rugged padding, internal dividers, heavy-duty backpack straps"
PRC-A-09,Vater Hickory 5B Drumsticks,Percussion - Accessory,11.99,"Enhanced power, heavier attack",Intermediate to Professional,"Thicker than 5A, ideal for hard rock hitting"
PRC-A-10,Ahead Spinal-G Ergonomic Throne,Percussion - Accessory,229.99,N/A - Utility,Professional,"Split-seat design, eliminates tailbone compression"
PRC-A-11,Pearl Eliminator Redline Pedal,Percussion - Accessory,269.99,N/A - Utility,Professional,"Interchangeable cams, highly customizable feel and attack"
PRC-A-12,Tama Iron Cobra 900 Hi-Hat Stand,Percussion - Accessory,319.99,N/A - Utility,Professional,"Rugged two-leg design, Kevlar pull strap, lightning-fast action"
PRC-A-13,Evans EMAD2 Clear Bass Drumhead,Percussion - Accessory,54.99,"Massive, focused, and punchy low-end tone",All Levels,"Heavy-duty double-ply, externally mounted adjustable damping"
PRC-A-14,Aquarian Superkick II Bass Drumhead,Percussion - Accessory,49.99,"Deep, pre-EQ'd, and punchy thud right out of the box",All Levels,"Twin-ply, patented floating muffling ring"
PRC-A-15,Meinl Cymbal Bacon Sizzler,Percussion - Accessory,12.99,"Sustained, sizzling cymbal effect",All Levels,"Beaded chain accessory, requires no cymbal drilling"
PRC-A-16,Vater Stick Shield Drumstick Bag,Percussion - Accessory,49.99,N/A - Utility,All Levels,"Water-resistant nylon, hangs vertically from floor tom"
PRC-A-17,Protection Racket 14x6.5 Snare Case,Percussion - Accessory,64.99,N/A - Utility,All Levels,"Premium soft-shell, waterproof outer, thick fleece interior"
PRC-A-18,Sabian Safefoam Cymbal Cleaner,Percussion - Accessory,14.99,N/A - Utility,All Levels,"Non-abrasive foam, removes grime without harming logos"
PRC-A-19,Gibraltar SC-GCA Cymbal Grabber Arm,Percussion - Accessory,44.99,N/A - Utility,All Levels,"Heavy-duty mounting clamp, space-saving splash addition"
PRC-A-20,Trick Drums Pro1-V Bigfoot Pedal,Percussion - Accessory,419,N/A - Utility,Professional,"Aerospace-grade aluminum, internal compression spring, frictionless speed"
ELK-I-01,Yamaha P-125 Digital Piano,Electronic/Keyboard - Instrument,699.99,"Authentic, resonant grand piano experience",All Levels,"88-key Graded Hammer Standard action, compact design"
ELK-I-02,Roland Juno-DS61 Synthesizer,Electronic/Keyboard - Instrument,799.99,"Versatile acoustic, organ, and rich synth patches",Intermediate to Professional,"Lightweight, 61 keys, intuitive interface, battery-powered"
ELK-I-03,Korg Minilogue Polyphonic Synth,Electronic/Keyboard - Instrument,549.99,"Massive, warm analog sound with lush delay",Intermediate to Professional,"4-voice fully analog, 16-step sequencer, oscilloscope"
ELK-I-04,Moog Subsequent 37 Synth,Electronic/Keyboard - Instrument,1899,"Aggressively fat, growling basslines and soaring leads",Professional,"2-note paraphonic analog, multi-drive filter"
ELK-I-05,Nord Stage 3 88-Key Keyboard,Electronic/Keyboard - Instrument,4699,"Highly detailed, pristine piano, organ, and synth tones",Professional,"Fully weighted hammer-action, dedicated sound engines"
ELK-I-06,Novation Launchkey 49 MK3,Electronic/Keyboard - Instrument,229.99,N/A - MIDI Controller (Controls external tone),Intermediate,"Deep Ableton Live integration, velocity-sensitive RGB pads"
ELK-I-07,Akai Professional MPK Mini Mk3,Electronic/Keyboard - Instrument,119,N/A - MIDI Controller (Controls external tone),All Levels,"Ultra-compact 25-key, 8 classic MPC-style beat pads"
ELK-I-08,Casio Privia PX-S1100,Electronic/Keyboard - Instrument,699,"Robust, dynamic, and surprisingly full acoustic piano sound",All Levels,"Slimmest 88-key piano, Bluetooth audio, smart-scaled hammer action"
ELK-I-09,Arturia MicroFreak Synth,Electronic/Keyboard - Instrument,349,"Weird, wonderful, and highly experimental textures",Intermediate to Professional,"Hybrid hardware, printed circuit board keyboard, digital oscillators"
ELK-I-10,Korg Kronos 88-Key Workstation,Electronic/Keyboard - Instrument,3899,Pristine acoustic emulation to wildly complex synth soundscapes,Professional,"Nine distinct sound engines, massive touchscreen, 16-track sequencer"
ELK-I-11,Sequential Prophet-5 Analog Synth,Electronic/Keyboard - Instrument,3499,"Unbelievably thick, warm pads and cutting classic leads",Professional,"Modern reissue, 5-voice polyphonic analog, knob-per-function control"
ELK-I-12,Roland Fantom 8 Workstation,Electronic/Keyboard - Instrument,4199,Zero-compromise high-fidelity acoustic and synth blending,Professional,"Premium hammer-action keybed, gapless sound switching"
ELK-I-13,Yamaha Montage 8 Synthesizer,Electronic/Keyboard - Instrument,3999,"Massive, evolving, and rhythmic FM-X soundscapes",Professional,"Motion Control Synthesis, top-tier performance instrument"
ELK-I-14,Korg SV-2 Stage Vintage Piano,Electronic/Keyboard - Instrument,1999,"Authentic, gritty, and warm electromechanical overdrive",Professional,"Real 12AX7 vacuum tube, 88-key world-class vintage sounds"
ELK-I-15,Waldorf Blofeld Desktop Synth,Electronic/Keyboard - Instrument,599,"Vast, icy, complex, and evolving ambient pads",Intermediate to Professional,"Digital wavetable module, extremely compact but powerful"
ELK-I-16,ASM Hydrasynth Keyboard,Electronic/Keyboard - Instrument,1299,"Fathomless sound design, morphing digital waves",Professional,"Polyphonic aftertouch keybed, 49-key digital wave-morphing"
ELK-I-17,Elektron Digitakt Drum Computer,Electronic/Keyboard - Instrument,849,"Punchy, detailed digital beats and sampled textures",Intermediate to Professional,"8-track digital drum machine/sampler, powerful parameter locks"
ELK-I-18,Native Instruments Komplete Kontrol S61,Electronic/Keyboard - Instrument,769,N/A - MIDI Controller (Controls external tone),Intermediate to Professional,"Fatar keybed, dual high-res color screens, deep NI integration"
ELK-I-19,Studiologic Numa Compact 2x,Electronic/Keyboard - Instrument,749,"Lightweight acoustic, electric, and tone-wheel organ sounds",Intermediate to Professional,"88-key semi-weighted, built-in speakers, physical organ sliders"
ELK-I-20,Arturia PolyBrute Analog Synth,Electronic/Keyboard - Instrument,2699,"Majestic, expressive morphing analog warmth",Professional,"6-voice analog matrix, Morph̩e 3D pad, ribbon controller"
ELK-A-01,Roland DP-10 Sustain Pedal,Electronic/Keyboard - Accessory,59.99,N/A - Utility,All Levels,"Authentic piano-style, half-damper compatible, non-slip base"
ELK-A-02,On-Stage KS7190 Classic X-Stand,Electronic/Keyboard - Accessory,39.95,N/A - Utility,All Levels,"Lightweight bolted metal, holds up to 90 lbs, folds flat"
ELK-A-03,Gator G-PG-61 Pro-Go Bag,Electronic/Keyboard - Accessory,169.99,N/A - Utility,All Levels,"Micro-fleece interior, thick shock-absorbing sidewalls"
ELK-A-04,Yamaha FC7 Expression Pedal,Electronic/Keyboard - Accessory,49.99,N/A - Utility,Intermediate to Professional,"Heavy-duty construction, seamless volume and filter sweep control"
ELK-A-05,K&M 18810 Omega Stand,Electronic/Keyboard - Accessory,219.99,N/A - Utility,Professional,"Highly stable table-style, maximum legroom, wobble-free"
ELK-A-06,Moog EP-3 Expression Pedal,Electronic/Keyboard - Accessory,59,N/A - Utility,Intermediate to Professional,"Smooth cam mechanism, perfect for analog synth parameter control"
ELK-A-07,Quik Lok BX-8 Keyboard Bench,Electronic/Keyboard - Accessory,79.99,N/A - Utility,All Levels,"Height-adjustable, high-density foam cushion"
ELK-A-08,Decksaver Minilogue Dust Cover,Electronic/Keyboard - Accessory,54.99,N/A - Utility,All Levels,"Custom-molded polycarbonate, protects from dust and impact"
ELK-A-09,M-Audio SP-2 Sustain Pedal,Electronic/Keyboard - Accessory,24,N/A - Utility,All Levels,"Classic piano feel, built-in polarity switch for universal use"
ELK-A-10,Gator Frameworks Deluxe Keyboard Seat,Electronic/Keyboard - Accessory,139.99,N/A - Utility,All Levels,"Heavy-duty throne, padded seat with sturdy backrest"
ELK-A-11,Roland KS-20X Double Braced Stand,Electronic/Keyboard - Accessory,79.99,N/A - Utility,Intermediate to Professional,"Rugged double-braced X-stand, spring-loaded height adjustment lever"
ELK-A-12,Boss FS-5U Unlatching Footswitch,Electronic/Keyboard - Accessory,39.99,N/A - Utility,All Levels,"Bulletproof metal chassis, triggers sequences or sustains notes"
ELK-A-13,Yamaha FC3A Sustain Pedal,Electronic/Keyboard - Accessory,44.99,N/A - Utility,Intermediate to Professional,"Engineered for Yamaha keyboards, fully supports half-pedaling"
ELK-A-14,Ultimate Support Apex AX-48 Pro Stand,Electronic/Keyboard - Accessory,249.99,N/A - Utility,Professional,"Sleek column-style, holds two keyboards, striking stage presence"
ELK-A-15,Korg EXP-2 Foot Controller,Electronic/Keyboard - Accessory,79.99,N/A - Utility,Intermediate to Professional,"Versatile lightweight pedal, acts as volume or expression"
ELK-A-16,Nektar NP-2 Sustain Pedal,Electronic/Keyboard - Accessory,19.99,N/A - Utility,All Levels,"Solid metal chassis, rubber gripping base, polarity switch"
ELK-A-17,Arturia KeyStep Soft Bag,Electronic/Keyboard - Accessory,39,N/A - Utility,All Levels,"Custom-tailored padded case, pockets for cables and power supplies"
ELK-A-18,Novation 49-Key Soft Carry Case,Electronic/Keyboard - Accessory,89.99,N/A - Utility,All Levels,"Stylish gig bag, rugged zippers, dedicated laptop sleeve"
ELK-A-19,Hercules KS410B Z-Style Stand,Electronic/Keyboard - Accessory,219.99,N/A - Utility,Professional,"Massively sturdy Z-style, integrated adjustable second tier"
ELK-A-20,Nord Soft Case for 88-Key Pianos,Electronic/Keyboard - Accessory,349,N/A - Utility,Professional,"Luxurious heavy padding, smooth-rolling skate wheels for travel"
